credit_score,monthly_income,existing_debt_payment,loan_amount,employment_years,prior_defaults,dti_ratio,default_status
402,6293,1336,43506,32,0,0.21229938026378517,0
735,12724,673,10668,2,0,0.052892172272870165,0
570,14020,148,96470,34,0,0.010556348074179744,0
406,7178,1250,52195,4,0,0.1741432153803288,0
371,8980,322,78233,26,0,0.03585746102449889,0
320,11200,3068,29417,11,0,0.2739285714285714,1
421,3229,3450,86982,19,0,1.0684422421802415,1
766,11227,1531,15751,19,0,0.13636768504498084,0
514,6585,1628,51218,8,0,0.2472285497342445,0
630,10467,3465,12352,38,0,0.3310404127257094,0
758,4740,1919,84052,3,0,0.40485232067510546,0
387,4289,2424,93835,18,0,0.5651667055257635,1
672,3239,1561,33927,37,0,0.4819388700216116,0
399,7370,1230,46094,26,0,0.16689280868385345,0
430,2125,1781,59122,12,0,0.8381176470588235,1
608,14257,2567,34493,12,0,0.1800519043276987,0
643,14504,2758,97247,21,1,0.19015444015444016,1
791,9473,3600,78539,27,0,0.3800274464266864,0
713,14060,474,36707,21,0,0.033712660028449505,0
685,11400,2220,73814,18,0,0.19473684210526315,0
491,7342,2121,12296,7,0,0.2888858621628984,0
576,9351,3805,30398,7,0,0.4069083520479093,0
460,8638,1153,40842,25,0,0.1334799722157907,0
759,8570,3359,18261,25,0,0.39194865810968493,0
613,5249,3535,81709,22,0,0.6734616117355687,0
321,11110,1989,61704,12,0,0.17902790279027903,1
552,9595,1923,72173,27,0,0.20041688379364253,0
774,14115,1574,36781,8,0,0.11151257527453064,0
358,8294,2342,18652,19,0,0.28237279961417894,1
810,8527,1279,10103,18,0,0.14999413627301514,0
775,7757,3343,30500,38,0,0.4309655794766018,0
489,14595,2994,40529,11,0,0.20513874614594038,0
543,3969,1164,23452,14,1,0.29327286470143615,1
804,12985,3234,54393,30,0,0.2490566037735849,0
430,2891,2170,36174,13,0,0.7506053268765133,0
784,6470,459,69450,10,0,0.07094281298299845,0
320,9175,3246,40436,25,0,0.3537874659400545,1
466,12225,2707,52406,26,0,0.2214314928425358,0
573,11556,2819,68059,10,0,0.24394254067151264,0
687,10320,2141,20954,37,1,0.2074612403100775,1
615,11206,3996,87722,33,0,0.3565946814206675,0
313,11991,1241,17356,18,0,0.10349428738220331,1
541,8812,1735,7187,5,0,0.196890603722197,0
645,9519,1503,82243,37,0,0.15789473684210525,0
639,6612,2043,40098,27,0,0.30898366606170596,0
391,11710,778,97471,0,0,0.06643894107600341,0
666,14373,3461,26225,34,0,0.24079871982188827,0
754,3198,2587,8606,39,0,0.8089430894308943,0
727,14065,3839,62620,7,0,0.2729470316388198,0
808,7238,3080,37828,6,0,0.425531914893617,0
334,12666,106,31489,10,0,0.008368861519027318,1
505,8089,3367,19387,38,0,0.4162442823587588,0
380,13677,2568,74463,3,0,0.18776047378811142,0
687,8257,1691,76832,24,0,0.20479593072544508,0
301,14241,932,7591,11,0,0.06544484235657608,1
689,9705,3364,53516,25,0,0.34662545079855744,0
405,5719,2706,96683,37,0,0.47315964329428223,0
776,2302,3319,67061,11,0,1.441789748045178,0
701,14144,1910,71736,36,0,0.135039592760181,0
461,14875,3840,86257,23,0,0.2581512605042017,0
501,2986,3373,66753,15,0,1.1296048225050235,0
569,12055,3615,89774,12,0,0.29987557030277895,0
570,6440,1013,16087,24,0,0.15729813664596273,0
755,6909,2111,35816,3,0,0.305543493993342,0
761,5072,1542,28408,10,0,0.30402208201892744,0
551,5124,1550,5136,31,0,0.30249804839968775,0
595,11519,3154,22413,6,0,0.2738084903203403,0
637,12600,1602,64500,10,0,0.12714285714285714,0
352,13865,3646,89514,27,0,0.26296429859358095,1
516,10125,225,61358,22,0,0.022222222222222223,0
487,5291,2542,71197,22,0,0.4804384804384804,0
679,6033,916,97789,27,1,0.1518315929056854,1
792,7105,3028,97420,25,0,0.42617874736101335,0
340,2703,1929,37854,24,0,0.7136514983351832,1
456,10133,675,81240,28,0,0.0666140333563604,0
314,2574,2472,95063,18,0,0.9603729603729604,1
364,7704,1515,21322,32,0,0.19665109034267914,1
820,13424,1029,11968,35,0,0.07665375446960668,0
643,9848,3859,32518,13,0,0.3918562144597888,0
428,7208,3799,56925,13,0,0.5270532741398446,0
771,14975,1563,64848,34,1,0.10437395659432387,0
362,8924,3375,98422,29,1,0.3781936351411923,1
438,12824,3657,6700,27,0,0.28516843418590143,0
798,5828,932,98782,16,0,0.15991763898421413,0
691,5230,1154,28199,2,0,0.22065009560229445,0
718,2488,3559,49589,15,0,1.4304662379421222,0
588,9114,1748,37115,29,0,0.19179284617072637,0
678,11539,2000,66934,28,0,0.1733252448219083,0
789,13873,1557,59316,14,0,0.11223239385857421,0
530,5173,2984,10520,24,0,0.576841291320317,0
340,14781,3073,41455,37,0,0.2079020363980786,1
327,3667,1499,91465,37,0,0.40878101990728116,1
434,11829,3515,46605,22,0,0.29715106940569785,0
500,6114,542,19955,24,0,0.08864900228982663,0
332,5553,3750,49049,6,0,0.6753106428957321,1
347,9761,2222,18917,21,0,0.22764061059317692,1
802,3000,656,75293,16,0,0.21866666666666668,0
706,11042,3943,83581,17,0,0.3570911066835718,0
398,3388,3837,69925,9,0,1.1325265643447462,1
846,7450,1278,75269,9,0,0.17154362416107383,0
761,5712,3601,35954,6,0,0.6304271708683473,0
304,3367,2137,77617,37,0,0.6346896346896347,1
517,10189,462,46458,26,1,0.045343016979095103,1
802,11013,2595,94037,32,0,0.23563061836011986,0
697,2454,1357,26113,0,0,0.5529747351263243,0
692,11816,3734,95226,33,0,0.31601218686526744,0
506,4772,1941,48939,3,0,0.4067476948868399,0
314,5726,2409,34345,16,0,0.4207125392944464,1
760,9232,1950,51313,3,0,0.2112218370883882,0
540,13339,2272,97365,25,0,0.1703276107654247,0
395,14281,1010,74166,3,0,0.07072333870177158,0
784,6806,344,52861,0,0,0.050543637966500146,0
706,4190,641,54298,6,0,0.15298329355608592,0
530,11108,2632,52221,29,0,0.23694634497659345,0
470,14178,2269,49942,8,0,0.16003667654112005,0
840,4875,2272,8453,34,0,0.46605128205128205,0
335,7592,1672,59935,7,0,0.220231822971549,1
824,3440,2317,48370,23,0,0.673546511627907,0
459,14592,223,13328,18,0,0.01528234649122807,0
542,10927,3206,20534,35,0,0.293401665598975,0
385,13760,3258,90280,26,0,0.23677325581395348,0
327,8059,2793,89925,31,0,0.346569053232411,1
639,13530,1831,41320,13,0,0.13532889874353288,0
630,9010,885,54170,17,0,0.09822419533851276,0
805,13207,2143,85201,27,0,0.1622624365866586,0
647,9117,2348,13640,28,0,0.2575408577382911,0
772,13081,2516,96057,15,0,0.1923400351655072,0
530,11153,896,35049,34,0,0.0803371290235811,0
489,4989,176,10618,30,0,0.035277610743636,0
524,14040,158,61053,3,0,0.011253561253561254,0
684,11218,2578,6920,36,1,0.22980923515778215,1
676,8228,2785,48937,16,0,0.3384783665532329,0
582,14057,1623,74724,38,0,0.11545849043181333,0
558,8471,2036,17207,25,0,0.24034942745838744,0
658,4863,2256,70774,38,0,0.4639111659469463,0
755,12693,3907,37972,3,0,0.30780745292681005,0
710,12139,3155,15799,29,0,0.25990608781612984,0
617,3177,1401,76088,29,0,0.4409820585457979,0
524,6760,167,33916,21,1,0.02470414201183432,1
533,2011,3240,75463,10,0,1.6111387369467927,0
673,7252,3336,98500,1,0,0.46001103143960287,0
771,6399,3660,81700,11,0,0.5719643694327239,0
532,13556,2452,42158,29,0,0.18087931543228092,0
412,13214,2032,89607,35,0,0.1537762978658998,0
796,13563,2821,76696,17,0,0.20799233207992332,0
741,13022,464,66510,25,0,0.03563200737213946,0
567,10234,920,63692,6,0,0.08989642368575337,0
809,11135,1502,66744,0,0,0.13488998652896272,0
685,12582,2490,20810,25,0,0.19790176442536958,0
686,7445,1046,10126,22,0,0.1404969778374748,0
412,12737,3046,35009,25,0,0.2391457957132763,0
380,12603,1677,95932,5,1,0.13306355629611996,1
412,8570,1477,5192,5,0,0.17234539089848308,0
301,11196,1539,41413,7,0,0.13745980707395497,1
519,10212,3280,17816,23,0,0.32119075597336466,0
524,2406,3734,44082,21,1,1.5519534497090606,1
684,11206,861,70048,18,0,0.0768338390148135,0
702,6431,3668,55940,36,0,0.5703623075726948,0
429,12030,440,37130,17,0,0.03657522859517872,0
352,13380,3089,45142,30,0,0.23086696562032885,1
715,7243,482,41468,36,0,0.0665470109070827,0
546,8542,1103,35698,29,0,0.12912666822758137,0
738,8936,1656,15655,32,0,0.18531781557743957,0
502,10906,399,52897,9,1,0.036585365853658534,1
483,6146,238,35075,36,0,0.0387243735763098,0
422,14046,458,14359,11,0,0.032607147942474726,0
700,14611,935,47056,29,0,0.06399288207514886,0
593,2140,1622,56831,26,0,0.7579439252336448,0
579,14757,3556,64191,38,0,0.24097038693501388,0
497,6882,1727,38272,8,0,0.2509444928799768,0
